Номер скважины,Глубина манометра,Dшт,Руст,Рзаб,Pлин,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит ст. конд.,Дебит воды,Дебит гааз,Дебит кон нестабильный,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Pсб,Ro_c,Удельная плотность газа ,G_total,КГФ
20503,"3653,00","15,88","138,87","239,30","80,73","79,54","51,00","38,00","105,02","37,26","137,68","0,41","5235,60","209,70","63,60","53,27","56,70","100,80","798,0","0,6540","5,76","223,11"
20503,"3653,00","14,29","149,89","251,30","73,31","72,58","50,00",,"100,21","31,99","114,88","0,34","5209,50","172,50","63,60","53,27","56,70","97,00","798,0","0,6540","5,25","199,63"
20503,"3653,00","11,11","191,41","296,80","76,57","76,82","50,00",,"102,38","24,80","109,27","0,33","3705,50","164,00","63,60","53,27","56,70","98,00","798,0","0,6540","4,25","245,68"
20503,"3650,00","7,94","337,11","458,60","91,05","89,43","60,00","90,30","105,60","31,18","106,66","0,49","2519,80","163,00","63,60","47,33","55,40","89,60","795,0","0,6822","3,72","294,59"
20503,"3650,00","9,53","325,84","452,80","97,79","98,18","66,00","95,50","105,49","40,51","143,01","2,18","3517,80","218,90","63,60","47,33","55,40","85,50","795,0","0,6822","5,17","282,24"
20503,"3650,00","12,70","299,56","437,30","103,11","105,98","74,00","103,60","105,47","51,38","230,98","4,56","5599,80","354,60","63,60","47,33","55,40","93,80","795,0","0,6822","8,40","280,56"
20503,"3650,00","14,29","280,33","426,20","107,06","106,77","75,00","106,80","105,42","52,76","272,77","6,25","6020,60","421,60","63,60","47,33","55,40","92,30","795,0","0,6822","9,64","292,24"
20503,"3650,00","15,87","256,21","414,00","109,78","109,39","75,00","110,20","105,36","55,51","302,62","8,34","6943,10","469,60","63,60","47,33","55,40","87,70","795,0","0,6822","10,93","284,08"
20503,"3650,00","14,29","271,47","414,80","108,63","108,64","74,00",,"105,35","53,13","262,01","6,01","5914,30","401,10","63,60","47,33","55,40","96,30","795,0","0,6822","9,33","289,18"
20503,"3650,00","11,11","297,68","424,50","100,13","102,25","70,00",,"105,37","44,88","179,76","3,29","4204,50","274,00","63,60","47,33","55,40","88,20","795,0","0,6822","6,42","287,52"
20503,"3653,00","9,53","298,57","403,40","111,38","111,61","64,00","32,00","104,42","42,44","118,28","1,47","2724,60","184,30","63,60","43,40","54,90","88,80","788,9","0,6840","4,59","254,84"
20503,"3653,00","11,11","285,65","399,20","121,68","123,62","68,00","36,00","104,42","49,18","145,03","2,27","3324,90","229,50","63,60","43,40","54,90","87,40","788,9","0,6840","5,83","243,23"
20503,,"14,29","221,80",,"107,56","106,77","69,00",,,"52,22","167,10","1,00","5020,00","254,00","63,60",,,"90,80","788,4","0,6847","7,28","219,04"
21002,"3572,00","6,35","251,29","341,50","106,00","114,70","25,00",,"104,90","26,50","40,00","0,00","1768,60","98,20","30,00","38,59","51,30","94,80","780,0000","0,6620","0,36","270,0000"
21002,"3572,00","9,53","237,10","330,00","105,90","103,80","31,00",,"104,70","38,50","76,60","0,00","2315,90","122,10","30,00","38,59","51,30","94,80","780,0000","0,6620","0,69","251,0000"
21002,"3572,00","11,11","222,92","316,00","108,90","108,70","37,00",,"104,60","45,00","91,80","1,10","2998,10","143,50","30,00","38,59","51,30","103,60","780,0000","0,6620","0,83","236,0000"
21002,"3572,00","12,70","222,92","301,60","101,70","108,40","37,00",,"104,50","48,20","102,30","2,40","4013,40","158,90","30,00","38,59","51,30","98,00","780,0000","0,6620","0,92","217,0000"
21002,"3588,50","7,94","258,00","359,90","100,20","100,20","57,00","33,00","105,10","33,20","59,60","1,30","1839,20","94,70","30,00","40,39","49,40","97,60","792,00","0,68","0,55","200,0000"
21002,"3588,50","9,53","250,30","346,90","98,90","98,80","62,00","38,50","104,88","39,00","74,00","2,60","2690,92","119,10","30,00","40,39","49,40","95,50","792,00","0,68","0,68","180,0000"
21002,"3588,50","11,11","232,00","330,50","94,50","93,10","66,00","42,90","104,50","43,30","88,70","3,80","3706,49","138,70","30,00","40,39","49,40","90,30","792,00","0,68","0,81","169,0000"
21002,"3588,50","12,70","214,20","314,20","96,90","97,00","68,00","47,90","104,00","47,80","98,60","4,70","4437,44","159,20","30,00","40,39","49,40","92,00","792,00","0,68","0,90","160,0000"
21002,"3588,50","14,29","193,00","297,50","98,20","98,30","68,00","51,00","103,40","51,20","109,10","5,70","5035,74","170,40","30,00","40,39","49,40","93,20","792,00","0,68","1,00","156,0000"
21002,"3588,50","12,70","206,00","306,90","97,20","97,60","67,00",,"103,76","48,20","94,70","4,50","4386,75","149,60","30,00","40,39","49,40","92,50","792,00","0,68","0,87","153,0000"
21002,,"9,53","215,00",,"100,37","100,26","58,00",,,"37,54","55,40","0,50","2291,00","91,00","30,00",,,"92,90","781,00","0,67","0,50","152,0000"
21203,"3478,50","9,53","260,00","347,00","93,85","94,36","57,00","34,30","106,51","35,29","67,79","5,49","3019,10","104,00","63,52","39,49",,"87,90","779,80","0,67","0,61","152,0000"
21203,"3478,50","11,11","248,14","342,00","94,36","94,18","60,00","38,50","106,48","40,52","79,32","5,45","4002,50","122,70","63,52","39,49",,"87,90","779,80","0,67","0,72","138,0000"
21203,,"12,70","200,00",,"102,14","102,23","66,00",,,"48,37","80,90","0,70","4109,00","416,00","63,50",,,"93,00","776,70","0,67","0,73","131,0000"
